City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kununurra,AU,-15.7667,128.7333,87.78,20,4,13.8,clear sky
1,Kampot,KH,10.6167,104.1833,86.05,57,86,6.42,overcast clouds
2,San Cristobal,VE,7.7669,-72.225,68.18,98,54,3.15,broken clouds
3,San Jose,US,37.3394,-121.895,90.68,33,0,11.5,clear sky
4,Cozumel,MX,20.5083,-86.9458,75.94,94,64,10.69,broken clouds
5,Mataura,NZ,-46.1927,168.8643,46.47,87,1,1.19,clear sky
6,Butaritari,KI,3.0707,172.7902,82.94,70,68,12.88,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,65.03,82,100,18.9,overcast clouds
8,Atuona,PF,-9.8,-139.0333,77.65,81,14,24.54,light rain
9,Sorland,NO,67.667,12.6934,46.26,63,100,3.09,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,73.31,65,36,8.41,scattered clouds
11,Bredasdorp,ZA,-34.5322,20.0403,55.94,96,100,4.56,overcast clouds
12,Methoni,GR,36.8197,21.7049,71.46,68,0,11.03,clear sky
13,Luderitz,NA,-26.6481,15.1594,52.68,74,1,4.76,clear sky
14,Zhezkazgan,KZ,47.8043,67.7144,80.58,22,0,8.95,clear sky
15,Cape Town,ZA,-33.9258,18.4232,57.11,91,0,4.61,clear sky
16,Ushuaia,AR,-54.8,-68.3,37.06,75,20,26.46,few clouds
17,New Norfolk,AU,-42.7826,147.0587,56.88,80,39,1.52,scattered clouds
18,Hermanus,ZA,-34.4187,19.2345,57.79,81,100,7.29,overcast clouds
19,Busselton,AU,-33.65,115.3333,66.9,64,50,15.64,scattered clouds
20,Plettenberg Bay,ZA,-34.0527,23.3716,59.56,68,99,1.36,overcast clouds
21,Jalu,LY,29.0331,21.5482,77.59,36,0,6.33,clear sky
22,Yellowknife,CA,62.456,-114.3525,64.92,52,40,3.44,scattered clouds
23,Albany,US,42.6001,-73.9662,61.3,92,100,1.99,overcast clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,42,1.01,scattered clouds
25,Kodiak,US,57.79,-152.4072,71.11,40,0,12.66,clear sky
26,Provideniya,RU,64.3833,-173.3,41.36,100,100,13.0,drizzle
27,Kapaa,US,22.0752,-159.319,82.38,85,40,13.8,scattered clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,46.09,54,0,6.91,clear sky
29,Katsuura,JP,35.1333,140.3,73.78,86,90,5.5,overcast clouds
30,Hamilton,US,39.1834,-84.5333,76.05,76,0,5.75,clear sky
31,Teguise,ES,29.0605,-13.564,62.82,72,0,11.5,clear sky
32,Khatanga,RU,71.9667,102.5,55.36,54,99,10.22,overcast clouds
33,Kayes,ML,14.0,-11.0,84.58,55,61,2.35,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,33.91,80,0,21.85,clear sky
35,Vaini,TO,-21.2,-175.2,78.96,65,20,9.22,few clouds
36,Longmont,US,40.1672,-105.1019,66.67,36,0,5.75,clear sky
37,Sretensk,RU,52.2453,117.7093,74.84,43,21,7.49,few clouds
38,Victoria,HK,22.2855,114.1577,92.17,74,97,10.0,overcast clouds
39,Humberto De Campos,BR,-2.5983,-43.4611,73.56,92,98,0.54,overcast clouds
40,Coracora,PE,-15.0333,-73.7833,43.77,42,27,3.56,scattered clouds
41,Airai,TL,-8.9266,125.4092,71.37,50,33,6.58,scattered clouds
42,Takoradi,GH,4.8845,-1.7554,73.74,93,100,6.02,light rain
43,Hambantota,LK,6.1241,81.1185,88.14,70,20,13.8,few clouds
44,Berlevag,NO,70.8578,29.0864,46.2,87,100,19.57,overcast clouds
45,Talnakh,RU,69.4865,88.3972,83.21,29,44,15.1,scattered clouds
46,Chuy,UY,-33.6971,-53.4616,52.56,84,97,14.81,overcast clouds
47,Khandyga,RU,62.6667,135.6,75.72,51,100,3.06,overcast clouds
48,Severo-Kurilsk,RU,50.6789,156.125,49.91,89,65,10.16,broken clouds
49,Brae,GB,60.3964,-1.353,52.48,94,100,19.53,overcast clouds
50,Hervey Bay,AU,-25.2986,152.8535,72.01,51,2,5.99,clear sky
51,Matamba,TZ,-8.9833,33.9667,47.64,66,2,3.94,clear sky
52,Port Blair,IN,11.6667,92.75,85.44,71,100,11.83,overcast clouds
53,Georgetown,MY,5.4112,100.3354,87.73,79,20,6.91,few clouds
54,Thompson,CA,55.7435,-97.8558,60.96,44,20,6.91,few clouds
55,Kenai,US,60.5544,-151.2583,75.02,59,0,11.5,clear sky
56,Hobart,AU,-42.8794,147.3294,57.22,73,40,2.3,scattered clouds
57,Zhireken,RU,52.8249,117.3076,70.05,44,59,6.76,broken clouds
58,Avarua,CK,-21.2078,-159.775,80.65,83,75,10.36,broken clouds
59,Hanmer Springs,NZ,-42.5167,172.8167,39.38,77,0,4.12,clear sky
60,Kaeo,NZ,-35.1,173.7833,56.32,73,59,3.0,broken clouds
61,Manhattan Beach,US,33.8847,-118.4109,79.7,85,20,8.05,few clouds
62,Jamestown,US,42.097,-79.2353,78.39,66,0,6.91,clear sky
63,Narsaq,GL,60.9167,-46.05,41.22,79,0,2.75,clear sky
64,Torbay,CA,47.6666,-52.7314,59.88,95,100,12.66,overcast clouds
65,Camacha,PT,33.0833,-16.3333,62.02,72,75,10.36,broken clouds
66,Mandalgovi,MN,45.7625,106.2708,82.18,20,70,11.88,broken clouds
67,Debre Zeyit,ET,8.75,38.9833,65.77,59,77,4.97,broken clouds
68,Aljezur,PT,37.3191,-8.8033,60.91,91,39,5.84,scattered clouds
69,Tasiilaq,GL,65.6145,-37.6368,35.76,91,75,2.1,broken clouds
70,Chokurdakh,RU,70.6333,147.9167,52.59,68,100,9.71,light rain
71,Ruza,RU,55.699,36.1952,51.87,95,100,7.18,overcast clouds
72,Beringovskiy,RU,63.05,179.3167,50.16,76,99,10.31,light rain
73,Bambous Virieux,MU,-20.3428,57.7575,71.22,77,40,3.44,scattered clouds
74,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,99,2.3,overcast clouds
75,Constitucion,CL,-35.3333,-72.4167,50.13,83,97,7.63,overcast clouds
76,Namibe,AO,-15.1961,12.1522,59.34,63,0,4.65,clear sky
77,Ilulissat,GL,69.2167,-51.1,33.82,93,100,4.61,light snow
78,Saint-Philippe,RE,-21.3585,55.7679,67.59,64,14,9.06,few clouds
79,Laguna,US,38.421,-121.4238,91.36,22,0,5.75,clear sky
80,Itarema,BR,-2.9248,-39.9167,74.86,85,72,11.5,broken clouds
81,Touros,BR,-5.1989,-35.4608,72.01,93,50,8.61,light rain
82,Svetlogorsk,BY,52.6333,29.7333,52.05,95,56,6.33,broken clouds
83,Waipawa,NZ,-41.4122,175.5153,43.52,83,32,2.84,scattered clouds
84,Bluff,NZ,-46.6,168.3333,46.8,78,4,4.81,clear sky
85,Negotino,MK,41.4839,22.0892,74.03,70,0,1.95,clear sky
86,Bengkulu,ID,-3.8004,102.2655,83.57,66,78,5.26,broken clouds
87,Wajima,JP,37.4,136.9,81.28,69,75,4.61,broken clouds
88,Qaanaaq,GL,77.484,-69.3632,33.33,66,95,5.48,overcast clouds
89,Otoka,BA,44.96,16.1792,67.06,91,83,1.57,light rain
90,Ambon,ID,-3.6954,128.1814,82.54,78,40,6.91,scattered clouds
91,Phanat Nikhom,TH,13.4458,101.1844,96.12,71,96,6.38,overcast clouds
92,Cuenca,EC,-2.8833,-78.9833,59.13,72,85,3.44,overcast clouds
93,Hithadhoo,MV,-0.6,73.0833,84.45,70,95,9.24,overcast clouds
94,Upernavik,GL,72.7868,-56.1549,33.8,99,100,8.3,light snow
95,Aklavik,CA,68.2191,-135.0107,68.68,37,6,10.51,clear sky
96,Dikson,RU,73.5069,80.5464,35.65,88,100,16.69,overcast clouds
97,Acapulco,MX,16.8634,-99.8901,78.62,83,100,11.5,overcast clouds
98,Salalah,OM,17.0151,54.0924,84.29,84,75,14.97,broken clouds
99,Bubaque,GW,11.2833,-15.8333,81.77,79,100,13.04,light rain
100,Tazovskiy,RU,67.4667,78.7,76.44,42,38,14.34,scattered clouds
101,Ponta Do Sol,PT,32.6667,-17.1,66.83,65,21,4.88,few clouds
102,Monrovia,LR,6.3005,-10.7969,73.17,86,100,5.82,light rain
103,Fortuna,US,40.5982,-124.1573,59.67,81,0,0.0,clear sky
104,Kandrian,PG,-6.2167,149.55,82.72,78,69,9.26,moderate rain
105,Alofi,NU,-19.0595,-169.9187,78.69,83,81,5.75,broken clouds
106,Sitka,US,57.0531,-135.33,49.89,76,100,5.75,overcast clouds
107,Kolyubakino,RU,55.668,36.5323,59.18,96,100,7.34,overcast clouds
108,Kosh-Agach,RU,50.0,88.6667,70.57,32,52,1.05,broken clouds
109,Ginda,IN,30.6945,78.4932,80.47,35,2,6.42,clear sky
110,Sola,VU,-13.8833,167.55,78.96,81,40,20.0,moderate rain
111,Puerto Colombia,CO,10.9878,-74.9547,82.49,86,22,19.93,few clouds
112,Barrow,US,71.2906,-156.7887,42.82,81,75,12.66,broken clouds
113,Araouane,ML,18.9048,-3.5265,90.18,34,3,14.97,clear sky
114,Okhotsk,RU,59.3833,143.3,52.09,82,95,10.56,overcast clouds
115,Lubao,PH,14.9167,120.55,94.71,52,66,7.29,broken clouds
116,Voi,KE,-3.3945,38.563,70.18,69,42,7.9,scattered clouds
117,Biltine,TD,14.5333,20.9167,82.49,44,33,4.32,scattered clouds
118,Manicore,BR,-5.8092,-61.3003,71.55,100,0,0.0,clear sky
119,Atar,MR,20.5169,-13.0499,85.5,55,59,4.76,broken clouds
120,Fairbanks,US,64.8378,-147.7164,72.91,54,0,5.75,clear sky
121,Udachnyy,RU,66.4167,112.4,84.45,24,49,10.45,scattered clouds
122,Medianeira,BR,-25.2953,-54.0939,68.0,73,63,9.15,broken clouds
123,Weligama,LK,5.9667,80.4167,82.78,77,100,12.82,overcast clouds
124,Marsa Matruh,EG,31.3525,27.2453,74.37,79,0,14.72,clear sky
125,Adrar,MR,20.5022,-10.0711,83.89,48,12,8.12,few clouds
126,Harper,LR,4.375,-7.7169,74.26,93,100,5.26,moderate rain
127,Srednekolymsk,RU,67.45,153.6833,66.97,31,57,12.55,broken clouds
128,Taoudenni,ML,22.6783,-3.9836,91.71,33,1,12.19,clear sky
129,Ostrovnoy,RU,68.0531,39.5131,48.76,71,90,5.12,overcast clouds
130,Uige,AO,-7.6087,15.0613,58.53,96,8,1.72,clear sky
131,Dubbo,AU,-32.25,148.6167,60.93,48,0,6.91,clear sky
132,Westport,US,41.1415,-73.3579,67.17,95,100,11.5,overcast clouds
133,Khorixas,NA,-20.3667,14.9667,42.04,65,0,3.53,clear sky
134,Stonewall,CA,50.1344,-97.3268,58.68,94,100,9.55,overcast clouds
135,Oksfjord,NO,70.2396,22.3479,44.78,93,100,5.88,light rain
136,Tigre,AR,-34.426,-58.5796,46.4,71,0,11.5,clear sky
137,Bundaberg,AU,-24.85,152.35,70.36,48,8,4.32,clear sky
138,Lebu,CL,-37.6167,-73.65,48.15,85,86,5.86,overcast clouds
139,Iwanai,JP,42.9744,140.5089,76.12,55,100,1.14,overcast clouds
140,Lima,PE,-12.0432,-77.0282,57.45,82,0,3.44,clear sky
141,Ikom,NG,5.9667,8.7063,71.02,99,100,1.95,overcast clouds
142,Saskylakh,RU,71.9167,114.0833,51.96,44,67,6.4,broken clouds
143,Ribeira Grande,PT,38.5167,-28.7,64.67,86,46,18.92,scattered clouds
144,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,0,8.05,clear sky
145,Caravelas,BR,-17.7125,-39.2481,69.26,93,26,2.57,scattered clouds
146,Kaitangata,NZ,-46.2817,169.8464,40.39,73,0,1.86,clear sky
147,Jever,DE,53.5833,7.9,51.21,100,38,1.14,mist
148,Castro,BR,-24.7911,-50.0119,59.07,89,55,5.5,broken clouds
149,Shieli,KZ,44.1667,66.75,89.37,20,99,7.49,overcast clouds
150,Nanao,JP,37.05,136.9667,85.32,63,93,3.24,overcast clouds
151,Vila Velha,BR,-20.3297,-40.2925,67.95,95,0,0.0,clear sky
152,Port Hardy,CA,50.6996,-127.4199,53.78,94,100,5.75,overcast clouds
153,The Valley,AI,18.217,-63.0578,81.1,74,87,13.27,overcast clouds
154,Flin Flon,CA,54.7682,-101.865,57.02,60,66,6.55,broken clouds
155,Mandera,KE,3.9366,41.867,77.38,63,81,18.37,broken clouds
156,Lakes Entrance,AU,-37.8811,147.981,62.17,69,86,4.76,overcast clouds
157,Toktogul,KG,41.8708,72.9402,70.32,63,85,2.08,overcast clouds
158,Norman Wells,CA,65.282,-126.8329,57.24,88,75,14.97,broken clouds
159,Kerema,PG,-7.9631,145.7785,81.86,79,77,7.54,broken clouds
160,Ust-Ilimsk,RU,58.0006,102.6619,54.99,74,100,7.36,light rain
161,Port Elizabeth,ZA,-33.918,25.5701,56.32,98,0,2.3,clear sky
162,Nikolskoye,RU,59.7035,30.7861,61.88,56,5,5.03,clear sky
163,Bandarbeyla,SO,9.4942,50.8122,82.54,56,96,34.74,overcast clouds
164,Shellbrook,CA,53.2168,-106.4011,61.83,83,6,6.02,clear sky
165,Little Elm,US,33.1626,-96.9375,90.09,52,29,1.99,scattered clouds
166,Kharp,RU,66.8014,65.8081,61.39,90,100,9.51,light rain
167,Ancud,CL,-41.8697,-73.8203,38.23,77,100,8.95,overcast clouds
168,Vega De Alatorre,MX,20.0333,-96.6333,76.6,85,100,1.3,overcast clouds
169,Bedesa,ET,8.9,40.7833,65.91,74,69,5.03,broken clouds
170,Kizilskoye,RU,52.7255,58.8937,67.71,57,13,10.74,few clouds
171,Lensk,RU,60.7253,114.9278,75.31,41,100,8.86,overcast clouds
172,Port Hedland,AU,-20.3167,118.5667,86.05,23,1,16.11,clear sky
173,Naryan-Mar,RU,67.6713,53.087,45.95,70,100,16.06,overcast clouds
174,Sao Filipe,CV,14.8961,-24.4956,75.27,89,18,3.24,few clouds
175,Kupang,ID,-10.1667,123.5833,86.47,51,62,19.39,broken clouds
176,Quixada,BR,-4.9714,-39.0153,66.96,95,35,3.09,scattered clouds
177,Ca Mau,VN,9.1769,105.15,91.9,51,81,6.26,broken clouds
178,Druskininkai,LT,54.0167,23.9667,54.05,87,72,8.84,broken clouds
179,Tucuman,AR,-26.8241,-65.2226,53.6,66,100,3.44,overcast clouds
180,Severo-Yeniseyskiy,RU,60.3725,93.0408,75.13,25,0,6.96,clear sky
181,Muriwai Beach,NZ,-36.8167,174.45,56.35,72,99,4.47,overcast clouds
182,Tupiza,BO,-21.45,-65.7167,37.9,11,40,9.31,scattered clouds
183,Lorengau,PG,-2.0226,147.2712,84.83,67,100,7.07,overcast clouds
184,Sarai Naurang,PK,32.8259,70.7814,77.81,47,9,6.11,clear sky
185,Sinnamary,GF,5.3833,-52.95,76.64,85,100,5.21,overcast clouds
186,Nanortalik,GL,60.1432,-45.2371,36.61,91,83,18.86,broken clouds
187,Carnarvon,AU,-24.8667,113.6333,75.85,36,0,3.15,clear sky
188,Ahipara,NZ,-35.1667,173.1667,52.68,70,100,2.37,overcast clouds
189,Mananjary,MG,-21.2167,48.3333,65.61,75,47,4.72,scattered clouds
190,Mahon,ES,39.8885,4.2658,75.76,78,0,18.41,clear sky
191,Lewistown,US,40.5992,-77.5714,72.14,100,0,0.0,clear sky
192,Lavrentiya,RU,65.5833,-171.0,43.09,88,98,9.24,overcast clouds
193,Cidreira,BR,-30.1811,-50.2056,61.52,92,100,11.05,overcast clouds
194,Manhattan,US,40.7834,-73.9662,68.63,85,100,6.91,overcast clouds
195,Kruisfontein,ZA,-34.0033,24.7314,54.32,78,100,4.59,overcast clouds
196,Roma,US,43.2128,-75.4557,65.73,87,15,1.99,few clouds
197,Najran,SA,17.4924,44.1277,81.25,17,89,0.81,overcast clouds
198,Kudahuvadhoo,MV,2.6708,72.8944,83.3,73,100,9.06,overcast clouds
199,Ucluelet,CA,48.9329,-125.5528,56.08,93,100,6.04,overcast clouds
200,Kabalo,CD,-6.05,26.9167,68.14,53,3,4.74,clear sky
201,Nabire,ID,-3.3667,135.4833,84.33,67,82,5.57,broken clouds
202,Avera,US,33.194,-82.5271,74.71,40,75,5.66,broken clouds
203,San Nicolas,PH,18.1725,120.5953,87.71,74,75,5.75,broken clouds
204,Morros,BR,-9.4467,-46.3003,68.5,69,8,3.27,clear sky
205,Rio Grande,BR,-32.035,-52.0986,57.31,93,100,11.36,overcast clouds
206,Warman,CA,52.3168,-106.5679,58.91,72,20,9.22,few clouds
207,Harrisburg,US,40.2737,-76.8844,71.53,81,0,6.91,clear sky
208,Cherskiy,RU,68.75,161.3,58.17,31,13,7.76,few clouds
209,Katherine,AU,-14.4667,132.2667,90.48,21,2,17.27,clear sky
210,Mahebourg,MU,-20.4081,57.7,71.26,77,40,3.44,scattered clouds
211,Yar-Sale,RU,66.8333,70.8333,73.9,54,84,8.86,broken clouds
212,Dalbandin,PK,28.8947,64.4101,86.88,12,0,9.75,clear sky
213,East London,ZA,-33.0153,27.9116,59.94,94,0,5.75,clear sky
214,Lagoa,PT,39.05,-27.9833,63.84,86,84,16.17,broken clouds
215,Asau,RO,46.4333,26.4,58.12,58,1,3.96,clear sky
216,Hilo,US,19.7297,-155.09,76.28,92,100,4.61,light rain
217,Launceston,AU,-41.45,147.1667,56.84,74,15,5.75,few clouds
218,Pasighat,IN,28.0667,95.3333,85.78,78,88,3.69,overcast clouds
219,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,85,33,8.68,scattered clouds
220,Arraial Do Cabo,BR,-22.9661,-42.0278,70.45,91,0,22.3,clear sky
221,Tuatapere,NZ,-46.1333,167.6833,43.27,79,29,3.15,scattered clouds
222,Dunedin,NZ,-45.8742,170.5036,45.81,64,0,0.56,clear sky
223,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
